Date,Country_Region,Province_State,Lat,Long,Confirmed,Recovered,Deaths
4/1/2020,San Marino,,43.9424,12.4578,236,13,26
4/1/2020,Sao Tome and Principe,,0.18636,6.613081,0,0,0
4/1/2020,Saudi Arabia,,24,45,1720,264,16
4/1/2020,Senegal,,14.4974,-14.4524,190,45,1
4/1/2020,Serbia,,44.0165,21.0059,1060,0,28
4/1/2020,Seychelles,,-4.6796,55.492,10,0,0
4/1/2020,Sierra Leone,,8.460555,-11.779889,2,0,0
4/1/2020,Singapore,,1.2833,103.8333,1000,245,3
4/1/2020,Slovakia,,48.669,19.699,400,3,1
4/1/2020,Slovenia,,46.1512,14.9955,841,10,15
4/1/2020,Somalia,,5.1521,46.1996,5,1,0
4/1/2020,South Africa,,-30.5595,22.9375,1380,50,5
4/1/2020,S. Sudan,,6.877,31.307,0,0,0
4/1/2020,Spain,,40,-4,104118,22647,9387
4/1/2020,Sri Lanka,,7,81,146,21,3
4/1/2020,Sudan,,12.8628,30.2176,7,2,2
4/1/2020,Suriname,,3.9193,-56.0278,10,0,0
4/1/2020,Sweden,,63,16,4947,103,239
4/1/2020,Switzerland,,46.8182,8.2275,17768,2967,488
4/1/2020,Syria,,34.802075,38.996815,10,0,2
4/1/2020,Taiwan,,23.7,121,329,39,5
4/1/2020,Tanzania,,-6.369,34.8888,20,1,1
4/1/2020,Thailand,,15,101,1771,505,12
4/1/2020,Timor-Leste,,-8.874217,125.727539,1,0,0
4/1/2020,Togo,,8.6195,0.8248,36,10,2
4/1/2020,Trinidad and Tobago,,10.6918,-61.2225,90,1,5
4/1/2020,Tunisia,,34,9,423,5,12
4/1/2020,Turkey,,38.9637,35.2433,15679,333,277
4/1/2020,US,,37.0902,-95.7129,213372,8474,4757
4/1/2020,Uganda,,1,32,44,0,0
4/1/2020,Ukraine,,48.3794,31.1656,794,13,20
4/1/2020,United Arab Emirates,,24,54,814,61,8
4/1/2020,United Kingdom,,55.3781,-3.436,29474,135,2352
4/1/2020,United Kingdom,Anguilla,18.2206,-63.0686,2,0,0
4/1/2020,United Kingdom,Bermuda,32.3078,-64.7505,32,10,0
4/1/2020,United Kingdom,British Virgin Islands,18.4207,-64.64,3,0,0
4/1/2020,United Kingdom,Cayman Islands,19.3133,-81.2546,22,0,1
4/1/2020,United Kingdom,Channel Islands,49.3723,-2.3644,172,0,3
4/1/2020,Falkland Is.,Falkland Islands (Malvinas),-51.7963,-59.5236,0,0,0
4/1/2020,United Kingdom,Gibraltar,36.1408,-5.3536,81,34,0
4/1/2020,United Kingdom,Isle of Man,54.2361,-4.5481,68,0,1
4/1/2020,United Kingdom,Montserrat,16.7425,-62.1874,5,0,0
4/1/2020,United Kingdom,Turks and Caicos Islands,21.694,-71.7979,6,0,0
4/1/2020,Uruguay,,-32.5228,-55.7658,338,41,2
4/1/2020,Uzbekistan,,41.3775,64.5853,181,12,2
4/1/2020,Venezuela,,6.4238,-66.5897,143,41,3
4/1/2020,Vietnam,,16,108,218,63,0
4/1/2020,Palestine,,31.9522,35.2332,134,18,1
4/1/2020,W. Sahara,,24.2155,-12.8858,0,0,0
4/1/2020,Yemen,,15.552727,48.516388,0,0,0
4/1/2020,Zambia,,-15.4167,28.2833,36,0,0
4/1/2020,Zimbabwe,,-20,30,8,0,1
